"No.","Time","Source","Destination","Protocol","Length","Info"
"30","0.425468","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=50681 Ack=1 Win=83 Len=2896 TSval=3797883876 TSecr=73503415"
"31","0.425705","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=53577 Win=83 Len=0 TSval=73503477 TSecr=3797883876"
"32","0.450447","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=53577 Ack=1 Win=83 Len=2896 TSval=3797883899 TSecr=73503438"
"33","0.450612","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=56473 Win=83 Len=0 TSval=73503502 TSecr=3797883899"
"34","0.477548","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=56473 Ack=1 Win=83 Len=2896 TSval=3797883937 TSecr=73503463"
"35","0.478114","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=59369 Win=83 Len=0 TSval=73503529 TSecr=3797883937"
"36","0.496536","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=59369 Ack=1 Win=83 Len=2896 TSval=3797883962 TSecr=73503477"
"37","0.496621","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=62265 Win=83 Len=0 TSval=73503548 TSecr=3797883962"
"38","0.521484","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=62265 Ack=1 Win=83 Len=2896 TSval=3797883989 TSecr=73503502"
"39","0.521728","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=65161 Win=83 Len=0 TSval=73503573 TSecr=3797883989"
"40","0.545176","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=65161 Ack=1 Win=83 Len=2896 TSval=3797884008 TSecr=73503529"
"41","0.545325","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=68057 Win=83 Len=0 TSval=73503596 TSecr=3797884008"
"42","0.569625","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=68057 Ack=1 Win=83 Len=2896 TSval=3797884033 TSecr=73503548"
"43","0.569796","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=70953 Win=83 Len=0 TSval=73503621 TSecr=3797884033"
"44","0.593479","10.0.0.2","10.0.0.1","TCP","1514","60410  >  5001 [ACK] Seq=70953 Ack=1 Win=83 Len=1448 TSval=3797884056 TSecr=73503573"
"45","0.608244","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=72401 Ack=1 Win=83 Len=2896 TSval=3797884056 TSecr=73503573"
"46","0.608354","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=75297 Win=83 Len=0 TSval=73503659 TSecr=3797884056"
"47","0.630321","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=75297 Ack=1 Win=83 Len=2896 TSval=3797884081 TSecr=73503596"
"48","0.630532","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=78193 Win=83 Len=0 TSval=73503681 TSecr=3797884081"
"49","0.654435","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=78193 Ack=1 Win=83 Len=2896 TSval=3797884119 TSecr=73503659"
"50","0.654549","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=81089 Win=83 Len=0 TSval=73503706 TSecr=3797884119"
"51","0.678518","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=81089 Ack=1 Win=83 Len=2896 TSval=3797884142 TSecr=73503681"
"52","0.678636","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=83985 Win=83 Len=0 TSval=73503730 TSecr=3797884142"
"53","0.702464","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=83985 Ack=1 Win=83 Len=2896 TSval=3797884166 TSecr=73503681"
"54","0.702680","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=86881 Win=83 Len=0 TSval=73503754 TSecr=3797884166"
"55","0.726595","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=86881 Ack=1 Win=83 Len=2896 TSval=3797884190 TSecr=73503706"
"56","0.726879","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=89777 Win=83 Len=0 TSval=73503778 TSecr=3797884190"
"57","0.750866","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=89777 Ack=1 Win=83 Len=2896 TSval=3797884214 TSecr=73503730"
"58","0.751186","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=92673 Win=83 Len=0 TSval=73503802 TSecr=3797884214"
"59","0.775112","10.0.0.2","10.0.0.1","TCP","1514","60410  >  5001 [PSH, ACK] Seq=92673 Ack=1 Win=83 Len=1448 TSval=3797884238 TSecr=73503754"
"60","0.787110","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=94121 Ack=1 Win=83 Len=2896 TSval=3797884238 TSecr=73503754"
"61","0.787268","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=97017 Win=83 Len=0 TSval=73503838 TSecr=3797884238"
"62","0.812278","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=97017 Ack=1 Win=83 Len=2896 TSval=3797884262 TSecr=73503778"
"63","0.812384","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=99913 Win=83 Len=0 TSval=73503863 TSecr=3797884262"
"64","0.835631","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=99913 Ack=1 Win=83 Len=2896 TSval=3797884298 TSecr=73503802"
"65","0.835930","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=102809 Win=83 Len=0 TSval=73503887 TSecr=3797884298"
"66","0.860421","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=102809 Ack=1 Win=83 Len=2896 TSval=3797884323 TSecr=73503863"
"67","0.860756","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=105705 Win=83 Len=0 TSval=73503912 TSecr=3797884323"
"68","0.884292","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=105705 Ack=1 Win=83 Len=2896 TSval=3797884347 TSecr=73503863"
"69","0.884947","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=108601 Win=83 Len=0 TSval=73503936 TSecr=3797884347"
"70","0.908435","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=108601 Ack=1 Win=83 Len=2896 TSval=3797884372 TSecr=73503912"
"71","0.909166","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=111497 Win=83 Len=0 TSval=73503960 TSecr=3797884372"
"72","0.932802","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=111497 Ack=1 Win=83 Len=2896 TSval=3797884396 TSecr=73503912"
"73","0.933126","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=114393 Win=83 Len=0 TSval=73503984 TSecr=3797884396"
"74","0.957277","10.0.0.2","10.0.0.1","TCP","1514","60410  >  5001 [ACK] Seq=114393 Ack=1 Win=83 Len=1448 TSval=3797884420 TSecr=73503936"
"75","0.968902","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=115841 Ack=1 Win=83 Len=2896 TSval=3797884420 TSecr=73503936"
"76","0.970015","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=118737 Win=83 Len=0 TSval=73504021 TSecr=3797884420"
"77","0.993300","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=118737 Ack=1 Win=83 Len=2896 TSval=3797884444 TSecr=73503960"
"78","0.994321","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=121633 Win=83 Len=0 TSval=73504045 TSecr=3797884444"
"79","1.017739","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=121633 Ack=1 Win=83 Len=2896 TSval=3797884481 TSecr=73503984"
"80","1.017918","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=124529 Win=83 Len=0 TSval=73504069 TSecr=3797884481"
"81","1.043216","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=124529 Ack=1 Win=83 Len=2896 TSval=3797884505 TSecr=73504045"
"82","1.043404","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=127425 Win=83 Len=0 TSval=73504094 TSecr=3797884505"
"83","1.065789","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=127425 Ack=1 Win=83 Len=2896 TSval=3797884529 TSecr=73504045"
"84","1.066407","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=130321 Win=83 Len=0 TSval=73504117 TSecr=3797884529"
"85","1.090032","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=130321 Ack=1 Win=83 Len=2896 TSval=3797884554 TSecr=73504069"
"86","1.090676","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=133217 Win=83 Len=0 TSval=73504142 TSecr=3797884554"
"87","1.114427","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=133217 Ack=1 Win=83 Len=2896 TSval=3797884577 TSecr=73504094"
"88","1.114837","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=136113 Win=83 Len=0 TSval=73504166 TSecr=3797884577"
"89","1.138491","10.0.0.2","10.0.0.1","TCP","1514","60410  >  5001 [ACK] Seq=136113 Ack=1 Win=83 Len=1448 TSval=3797884602 TSecr=73504117"
"90","1.151495","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=137561 Ack=1 Win=83 Len=2896 TSval=3797884602 TSecr=73504117"
"91","1.152273","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=140457 Win=83 Len=0 TSval=73504203 TSecr=3797884602"
"92","1.174965","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=140457 Ack=1 Win=83 Len=2896 TSval=3797884626 TSecr=73504142"
"93","1.175313","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=143353 Win=83 Len=0 TSval=73504226 TSecr=3797884626"
"94","1.199433","fe80::8e9:cdff:fe9f:a70c","ff02::2","ICMPv6","70","Router Solicitation from 0a:e9:cd:9f:a7:0c"
"95","1.199443","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=143353 Ack=1 Win=83 Len=2896 TSval=3797884663 TSecr=73504166"
"96","1.199683","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=146249 Win=83 Len=0 TSval=73504251 TSecr=3797884663"
"97","1.224849","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=146249 Ack=1 Win=83 Len=2896 TSval=3797884686 TSecr=73504203"
"98","1.225203","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=149145 Win=83 Len=0 TSval=73504276 TSecr=3797884686"
"99","1.248282","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=149145 Ack=1 Win=83 Len=2896 TSval=3797884711 TSecr=73504226"
"100","1.248806","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=152041 Win=83 Len=0 TSval=73504300 TSecr=3797884711"
"101","1.272734","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=152041 Ack=1 Win=83 Len=2896 TSval=3797884736 TSecr=73504251"
"102","1.273004","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=154937 Win=83 Len=0 TSval=73504324 TSecr=3797884736"
"103","1.299093","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=154937 Ack=1 Win=83 Len=2896 TSval=3797884760 TSecr=73504276"
"104","1.299387","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=157833 Win=83 Len=0 TSval=73504350 TSecr=3797884760"
"105","1.322496","10.0.0.2","10.0.0.1","TCP","1514","60410  >  5001 [PSH, ACK] Seq=157833 Ack=1 Win=83 Len=1448 TSval=3797884784 TSecr=73504300"
"106","1.333450","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=159281 Ack=1 Win=83 Len=2896 TSval=3797884784 TSecr=73504300"
"107","1.333560","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=162177 Win=83 Len=0 TSval=73504385 TSecr=3797884784"
"108","1.357699","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=162177 Ack=1 Win=83 Len=2896 TSval=3797884810 TSecr=73504324"
"109","1.357781","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=165073 Win=83 Len=0 TSval=73504409 TSecr=3797884810"
"110","1.381178","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=165073 Ack=1 Win=83 Len=2896 TSval=3797884845 TSecr=73504385"
"111","1.382152","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=167969 Win=83 Len=0 TSval=73504433 TSecr=3797884845"
"112","1.405635","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=167969 Ack=1 Win=83 Len=2896 TSval=3797884869 TSecr=73504409"
"113","1.406287","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=170865 Win=83 Len=0 TSval=73504457 TSecr=3797884869"
"114","1.429967","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=170865 Ack=1 Win=83 Len=2896 TSval=3797884893 TSecr=73504409"
"115","1.430476","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=173761 Win=83 Len=0 TSval=73504481 TSecr=3797884893"
"116","1.453901","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=173761 Ack=1 Win=83 Len=2896 TSval=3797884917 TSecr=73504433"
"117","1.454856","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=176657 Win=83 Len=0 TSval=73504506 TSecr=3797884917"
"118","1.478610","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=176657 Ack=1 Win=83 Len=2896 TSval=3797884941 TSecr=73504457"
"119","1.478744","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=179553 Win=83 Len=0 TSval=73504530 TSecr=3797884941"
"120","1.502470","10.0.0.2","10.0.0.1","TCP","1514","60410  >  5001 [PSH, ACK] Seq=179553 Ack=1 Win=83 Len=1448 TSval=3797884966 TSecr=73504481"
"121","1.514619","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=181001 Ack=1 Win=83 Len=2896 TSval=3797884966 TSecr=73504481"
"122","1.515163","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=183897 Win=83 Len=0 TSval=73504566 TSecr=3797884966"
"123","1.538925","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=183897 Ack=1 Win=83 Len=2896 TSval=3797884990 TSecr=73504506"
"124","1.539416","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=186793 Win=83 Len=0 TSval=73504590 TSecr=3797884990"
"125","1.562950","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=186793 Ack=1 Win=83 Len=2896 TSval=3797885026 TSecr=73504566"
"126","1.563621","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=189689 Win=83 Len=0 TSval=73504615 TSecr=3797885026"
"127","1.587068","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=189689 Ack=1 Win=83 Len=2896 TSval=3797885050 TSecr=73504590"
"128","1.587910","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=192585 Win=83 Len=0 TSval=73504639 TSecr=3797885050"
"129","1.611471","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=192585 Ack=1 Win=83 Len=2896 TSval=3797885075 TSecr=73504590"
"130","1.613068","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=195481 Win=83 Len=0 TSval=73504664 TSecr=3797885075"
"131","1.636706","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=195481 Ack=1 Win=83 Len=2896 TSval=3797885099 TSecr=73504615"
"132","1.636901","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=198377 Win=83 Len=0 TSval=73504688 TSecr=3797885099"
"133","1.660612","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=198377 Ack=1 Win=83 Len=2896 TSval=3797885124 TSecr=73504664"
"134","1.660801","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=201273 Win=83 Len=0 TSval=73504712 TSecr=3797885124"
"135","1.684017","10.0.0.2","10.0.0.1","TCP","1514","60410  >  5001 [ACK] Seq=201273 Ack=1 Win=83 Len=1448 TSval=3797885148 TSecr=73504664"
"136","1.696271","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=202721 Ack=1 Win=83 Len=2896 TSval=3797885148 TSecr=73504664"
"137","1.696978","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=205617 Win=83 Len=0 TSval=73504748 TSecr=3797885148"
"138","1.720946","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=205617 Ack=1 Win=83 Len=2896 TSval=3797885172 TSecr=73504688"
"139","1.721148","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=208513 Win=83 Len=0 TSval=73504772 TSecr=3797885172"
"140","1.744958","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=208513 Ack=1 Win=83 Len=2896 TSval=3797885208 TSecr=73504712"
"141","1.745600","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=211409 Win=83 Len=0 TSval=73504796 TSecr=3797885208"
"142","1.768770","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=211409 Ack=1 Win=83 Len=2896 TSval=3797885232 TSecr=73504748"
"143","1.769427","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=214305 Win=83 Len=0 TSval=73504820 TSecr=3797885232"
"144","1.794040","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=214305 Ack=1 Win=83 Len=2896 TSval=3797885257 TSecr=73504796"
"145","1.794297","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=217201 Win=83 Len=0 TSval=73504845 TSecr=3797885257"
"146","1.819658","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=217201 Ack=1 Win=83 Len=2896 TSval=3797885280 TSecr=73504796"
"147","1.820465","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=220097 Win=83 Len=0 TSval=73504871 TSecr=3797885280"
"148","1.843156","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=220097 Ack=1 Win=83 Len=2896 TSval=3797885305 TSecr=73504820"
"149","1.843412","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=222993 Win=83 Len=0 TSval=73504894 TSecr=3797885305"
"150","1.865784","10.0.0.2","10.0.0.1","TCP","1514","60410  >  5001 [PSH, ACK] Seq=222993 Ack=1 Win=83 Len=1448 TSval=3797885331 TSecr=73504871"
"151","1.878705","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=224441 Ack=1 Win=83 Len=2896 TSval=3797885331 TSecr=73504871"
"152","1.879133","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=227337 Win=83 Len=0 TSval=73504930 TSecr=3797885331"
"153","1.902114","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=227337 Ack=1 Win=83 Len=2896 TSval=3797885354 TSecr=73504894"
"154","1.902661","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=230233 Win=83 Len=0 TSval=73504954 TSecr=3797885354"
"155","1.927362","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=230233 Ack=1 Win=83 Len=2896 TSval=3797885390 TSecr=73504894"
"156","1.927606","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=233129 Win=83 Len=0 TSval=73504979 TSecr=3797885390"
"157","1.950395","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=233129 Ack=1 Win=83 Len=2896 TSval=3797885414 TSecr=73504930"
"158","1.951175","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=236025 Win=83 Len=0 TSval=73505002 TSecr=3797885414"
